  EVENT_ID Name                                                         WAIT_CLASS_ID WAIT_CLASS
2181430622 ges cached resource cleanup                                     1893977003 Other
2785624238 ges generic event                                               1893977003 Other
3396327580 ges retry query node                                            1893977003 Other
2857777550 ges process with outstanding i/o                                1893977003 Other
3957868722 ges user error                                                  1893977003 Other
2120155596 ges enter server mode                                           1893977003 Other
 350643236 gcs enter server mode                                           1893977003 Other
2038008095 gcs drm freeze in enter server mode                             1893977003 Other
1895771704 gcs ddet enter server mode                                      1893977003 Other
2783453682 ges cancel                                                      1893977003 Other
  26939470 ges resource cleanout during enqueue open                       1893977003 Other
1260212817 ges resource cleanout during enqueue open-cvt                   1893977003 Other
3741819151 ges master to get established for SCN op                        1893977003 Other
1312215341 ges LMON to get to FTDONE                                       1893977003 Other
2863691995 ges1 LMON to wake up LMD - mrcvr                                1893977003 Other
1687619969 ges2 LMON to wake up LMD - mrcvr                                1893977003 Other
2414509731 ges2 LMON to wake up lms - mrcvr 2                              1893977003 Other
2242140456 ges2 LMON to wake up lms - mrcvr 3                              1893977003 Other
4086135771 ges inquiry response                                            1893977003 Other
3642965647 ges reusing os pid                                              1893977003 Other
 505407722 ges LMON for send queues                                        1893977003 Other
 643358389 ges LMD suspend for testing event                               1893977003 Other
2287899877 ges performance test completion                                 1893977003 Other
1166323227 kjbopen wait for recovery domain attach                         1893977003 Other
 361900693 kjudomatt wait for recovery domain attach                       1893977003 Other
2662540004 kjudomdet wait for recovery domain detach                       1893977003 Other
1193769478 kjbdomalc allocate recovery domain - retry                      1893977003 Other
1228081120 kjbdrmcvtq lmon drm quiesce: ping completion                    1893977003 Other
 164764783 ges RMS0 retry add redo log                                     1893977003 Other
2627100592 readable standby redo apply remastering                         1893977003 Other
2589387632 ges DFS hang analysis phase 2 acks                              1893977003 Other
2986589560 ges/gcs diag dump                                               1893977003 Other
3757130716 global plug and play automatic resource creation                1893977003 Other
4188419816 gcs lmon dirtydetach step completion                            1893977003 Other
2062548194 recovery instance recovery completion                           1893977003 Other
3271968413 ack for a broadcasted res from a remote instance                1893977003 Other
4079369678 KJC: Wait for msg sends to complete                             1893977003 Other
1801723349 ges message buffer allocation                                   1893977003 Other
3613653811 kjctssqmg: quick message send wait                              1893977003 Other
3758859760 kjctcisnd: Queue/Send client message                            1893977003 Other
3368851413 gcs domain validation                                           1893977003 Other
 142175773 latch: gcs resource hash                                        1893977003 Other
2848189392 affinity expansion in replay                                    1893977003 Other
2470511309 wait for sync ack                                               1893977003 Other
 189592347 wait for verification ack                                       1893977003 Other
3428259705 wait for assert messages to be sent                             1893977003 Other
3937428465 wait for scn ack                                                1893977003 Other
3928537616 lms flush message acks                                          1893977003 Other
3954828229 name-service call wait                                          1893977003 Other
1736567536 CGS wait for IPC msg                                            1893977003 Other
1950408062 kjxgrtest                                                       1893977003 Other
4139178294 IMR mount phase II completion                                   1893977003 Other
1175435584 IMR disk votes                                                  1893977003 Other
3706379258 IMR rr lock release                                             1893977003 Other
 872961962 IMR net-check message ack                                       1893977003 Other
1055131010 IMR rr update                                                   1893977003 Other
1123581371 IMR membership resolution                                       1893977003 Other
4003053530 IMR CSS join retry                                              1893977003 Other
2151285256 CGS skgxn join retry                                            1893977003 Other
1965140390 gcs to be enabled                                               1893977003 Other
3480025058 gcs log flush sync                                              1893977003 Other
2948850473 GCR ctx lock acquisition                                        1893977003 Other
2679146610 GCR lock acquisition                                            1893977003 Other
 188360435 GCR CSS join retry                                              1893977003 Other
2558786080 GCR member Data from CSS                                        1893977003 Other
3493282803 SGA: allocation forcing component growth                        1893977003 Other
3659501038 SGA: sga_target resize                                          1893977003 Other
1230198893 enq: SC -  contention                                           1893977003 Other
  40893507 control file heartbeat                                          1893977003 Other
3061031534 control file diagnostic dump                                    1893977003 Other
1494394835 enq: CF - contention                                            1893977003 Other
 608373385 enq: SW - contention                                            1893977003 Other
1608438935 enq: DS - contention                                            1893977003 Other
1231322525 enq: TC - contention                                            1893977003 Other
 718572278 enq: TC - contention2                                           1893977003 Other
2332720660 buffer exterminate                                              1893977003 Other
 645688068 buffer resize                                                   1893977003 Other
3401628503 latch: cache buffers lru chain                                  1893977003 Other
1340848367 enq: PW - perwarm status in dbw0                                1893977003 Other
  22066106 latch: checkpoint queue latch                                   1893977003 Other
2935866945 latch: cache buffer handles                                     1893977003 Other
3476701947 kcbzps                                                          1893977003 Other
 912137450 DBWR range invalidation sync                                    1893977003 Other
 218992928 buffer deadlock                                                 1893977003 Other
1948834383 buffer latch                                                    1893977003 Other
3807851191 cr request retry                                                1893977003 Other
 479497384 writes stopped by instance recovery or database suspension      1893977003 Other
2545148957 lock escalate retry                                             1893977003 Other
3412713426 lock deadlock retry                                             1893977003 Other
1822708168 prewarm transfer retry                                          1893977003 Other
 105891848 recovery buffer pinned                                          1893977003 Other
2156001621 TSE master key rekey                                            1893977003 Other
1531409241 TSE SSO wallet reopen                                           1893977003 Other
3874022972 force-cr-override flush                                         1893977003 Other
2576559565 enq: CR - block range reuse ckpt                                1893977003 Other
1898285196 wait for MTTR advisory state object                             1893977003 Other
 295718413 latch: object queue header operation                            1893977003 Other
2486749347 Wait on stby instance close                                     1893977003 Other
2370101988 ARCH wait for archivelog lock                                   1893977003 Other
2704451831 enq: WL - Test access/locking                                   1893977003 Other
 529335332 FAL archive wait 1 sec for REOPEN minimum                       1893977003 Other
4036275899 TEST: action sync                                               1893977003 Other
 205495275 TEST: action hang                                               1893977003 Other
3845085937 RSGA: RAC reconfiguration                                       1893977003 Other
1710302097 enq: WL - RAC-wide SGA contention                               1893977003 Other
 791811160 LGWR ORL/NoExp FAL archival                                     1893977003 Other
1423505461 enq: WS -  contention                                           1893977003 Other
4257177215 MRP wait on process start                                       1893977003 Other
4223476495 MRP wait on process restart                                     1893977003 Other
2370040255 MRP wait on startup clear                                       1893977003 Other
  56334152 MRP inactivation                                                1893977003 Other
1956506127 MRP termination                                                 1893977003 Other
3385493228 MRP state inspection                                            1893977003 Other
 916189195 MRP wait on archivelog arrival                                  1893977003 Other
 649270296 MRP wait on archivelog archival                                 1893977003 Other
1722088478 log switch/archive                                              1893977003 Other
 805821516 ARCH wait on c/f tx acquire 1                                   1893977003 Other
3771596012 RFS attach                                                      1893977003 Other
4172664383 RFS create                                                      1893977003 Other
2508684169 RFS close                                                       1893977003 Other
1498277161 RFS announce                                                    1893977003 Other
2909083597 RFS register                                                    1893977003 Other
1120829189 RFS detach                                                      1893977003 Other
 571751314 RFS ping                                                        1893977003 Other
 881117162 RFS dispatch                                                    1893977003 Other
 784686743 enq: WL - RFS global state contention                           1893977003 Other
 984914326 LGWR simulation latency wait                                    1893977003 Other
 781082802 LNS simulation latency wait                                     1893977003 Other
3432036744 Data Guard: RFS disk I/O                                        1893977003 Other
3234332405 ARCH wait for process start 1                                   1893977003 Other
1919721797 ARCH wait for process death 1                                   1893977003 Other
1863657788 ARCH wait for process start 3                                   1893977003 Other
2570646651 Data Guard: process exit                                        1893977003 Other
4064205643 Data Guard: process clean up                                    1893977003 Other
3098550178 LGWR-LNS wait on channel                                        1893977003 Other
1211302889 enq: WR - contention                                            1893977003 Other
3839860880 Image redo gen delay                                            1893977003 Other
4266849434 LGWR wait for redo copy                                         1893977003 Other
 266850936 latch: redo allocation                                          1893977003 Other
1561425187 log file switch (clearing log file)                             1893977003 Other
1555037586 enq: WL - contention                                            1893977003 Other
1281359820 enq: RN - contention                                            1893977003 Other
1242352358 DFS db file lock                                                1893977003 Other
 217146514 enq: DF - contention                                            1893977003 Other
1184948750 enq: IS - contention                                            1893977003 Other
1309055815 enq: FS - contention                                            1893977003 Other
3294817508 enq: DM - contention                                            1893977003 Other
 647852263 enq: RP - contention                                            1893977003 Other
1925256273 latch: gc element                                               1893977003 Other
1143317824 enq: RT - contention                                            1893977003 Other
2588100800 enq: RT - thread internal enable/disable                        1893977003 Other
4021392840 enq: IR - contention                                            1893977003 Other
3041521765 enq: IR - contention2                                           1893977003 Other
3113891348 enq: MR - contention                                            1893977003 Other
3480024039 enq: MR - standby role transition                               1893977003 Other
2431157470 enq: MR - datafile online                                       1893977003 Other
1819372799 shutdown after switchover to standby                            1893977003 Other
2938939381 parallel recovery coord wait for reply                          1893977003 Other
 201710181 parallel recovery coord send blocked                            1893977003 Other
4008505077 parallel recovery slave wait for change                         1893977003 Other
3954034543 enq: BR - file shrink                                           1893977003 Other
1796838767 enq: BR - proxy-copy                                            1893977003 Other
1785130586 enq: BR - multi-section restore header                          1893977003 Other
1429048489 enq: BR - multi-section restore section                         1893977003 Other
3146685455 enq: BR - space info datafile hdr update                        1893977003 Other
4186138071 enq: BR - request autobackup                                    1893977003 Other
 120917685 enq: BR - perform autobackup                                    1893977003 Other
4055016213 enq: ID - contention                                            1893977003 Other
1895301661 Backup Restore Throttle sleep                                   1893977003 Other
3940042335 Backup Restore Switch Bitmap sleep                              1893977003 Other
3258229488 Backup Restore Event 19778 sleep                                1893977003 Other
1322805269 enq: BS - krb spare1                                            1893977003 Other
4203373658 enq: BS - krb spare2                                            1893977003 Other
 147590871 enq: BS - krb spare3                                            1893977003 Other
 582079184 enq: BS - krb spare4                                            1893977003 Other
2359797895 enq: BS - krb spare5                                            1893977003 Other
2033921459 enq: BS - krb spare6                                            1893977003 Other
1642577545 enq: BS - krb spare7                                            1893977003 Other
3762945238 enq: BS - krb spare8                                            1893977003 Other
3298767914 enq: BS - krb spare9                                            1893977003 Other
1070971451 enq: BS - krb spare0                                            1893977003 Other
 513503674 enq: AB - ABMR process start/stop                               1893977003 Other
4289089804 enq: AB - ABMR process initialized                              1893977003 Other
1348089685 Auto BMR completion                                             1893977003 Other
3217997244 Auto BMR RPC standby catchup                                    1893977003 Other
1489162918 enq: MN - contention                                            1893977003 Other
 622794581 enq: PL - contention                                            1893977003 Other
 260587712 enq: SB - logical standby metadata                              1893977003 Other
2514944057 enq: SB - table instantiation                                   1893977003 Other
2366696931 Logical Standby Apply shutdown                                  1893977003 Other
2276822405 Logical Standby pin transaction                                 1893977003 Other
1748443679 Logical Standby dictionary build                                1893977003 Other
3415281788 Logical Standby Terminal Apply                                  1893977003 Other
 993838451 Logical Standby Debug                                           1893977003 Other
1061728450 Resolution of in-doubt txns                                     1893977003 Other
 707813539 enq: XR - quiesce database                                      1893977003 Other
3609173507 enq: XR - database force logging                                1893977003 Other
4185983479 standby query scn advance                                       1893977003 Other
1445223374 change tracking file synchronous read                           1893977003 Other
 424098511 change tracking file synchronous write                          1893977003 Other
  30036540 change tracking file parallel write                             1893977003 Other
 513392991 block change tracking buffer space                              1893977003 Other
4217808978 CTWR media recovery checkpoint request                          1893977003 Other
1487467637 enq: CT - global space management                               1893977003 Other
3466352936 enq: CT - local space management                                1893977003 Other
 690018733 enq: CT - change stream ownership                               1893977003 Other
2979034732 enq: CT - state                                                 1893977003 Other
 790405879 enq: CT - state change gate 1                                   1893977003 Other
2477507895 enq: CT - state change gate 2                                   1893977003 Other
3488556206 enq: CT - CTWR process start/stop                               1893977003 Other
 513540187 enq: CT - reading                                               1893977003 Other
3598948525 recovery area: computing dropped files                          1893977003 Other
4063976546 recovery area: computing obsolete files                         1893977003 Other
1877105024 recovery area: computing backed up files                        1893977003 Other
2825667152 recovery area: computing applied logs                           1893977003 Other
2897929244 enq: RS - file delete                                           1893977003 Other
 313351369 enq: RS - record reuse                                          1893977003 Other
3504071695 enq: RS - prevent file delete                                   1893977003 Other
3170569251 enq: RS - prevent aging list update                             1893977003 Other
3178040924 enq: RS - persist alert level                                   1893977003 Other
 115643876 enq: RS - read alert level                                      1893977003 Other
3488540422 enq: RS - write alert level                                     1893977003 Other
3383573524 enq: FL - Flashback database log                                1893977003 Other
 511900941 enq: FL - Flashback db command                                  1893977003 Other
1057119651 enq: FD - Marker generation                                     1893977003 Other
 120716488 enq: FD - Tablespace flashback on/off                           1893977003 Other
3377895670 enq: FD - Flashback coordinator                                 1893977003 Other
1783985711 enq: FD - Flashback on/off                                      1893977003 Other
 795831746 enq: FD - Restore point create/drop                             1893977003 Other
2085703061 enq: FD - Flashback logical operations                          1893977003 Other
1729254775 flashback free VI log                                           1893977003 Other
3594374201 flashback log switch                                            1893977003 Other
 626068540 enq: FW -  contention                                           1893977003 Other
 799112511 RVWR wait for flashback copy                                    1893977003 Other
3601079116 parallel recovery read buffer free                              1893977003 Other
4215254072 parallel recovery change buffer free                            1893977003 Other
4081701776 cell smart flash unkeep                                         1893977003 Other
 930916630 datafile move cleanup during resize                             1893977003 Other
2177880604 blocking txn id for DDL                                         1893977003 Other
2153157043 transaction                                                     1893977003 Other
 403545727 inactive transaction branch                                     1893977003 Other
 957725912 txn to complete                                                 1893977003 Other
2264655921 PMON to cleanup pseudo-branches at svc stop time                1893977003 Other
2206434397 PMON to cleanup detached branches at shutdown                   1893977003 Other
2091246363 test long ops                                                   1893977003 Other
2221529869 latch: undo global data                                         1893977003 Other
1467219297 undo segment recovery                                           1893977003 Other
4224098334 unbound tx                                                      1893977003 Other
 865316074 wait for change                                                 1893977003 Other
1657000051 wait for another txn - undo rcv abort                           1893977003 Other
1886837281 wait for another txn - txn abort                                1893977003 Other
2537911001 wait for another txn - rollback to savepoint                    1893977003 Other
 313295972 undo_retention publish retry                                    1893977003 Other
2605232529 enq: TA - contention                                            1893977003 Other
1629782133 enq: TX - contention                                            1893977003 Other
2458904239 enq: US - contention                                            1893977003 Other
3065535233 wait for stopper event to be increased                          1893977003 Other
3020078888 wait for a undo record                                          1893977003 Other
 289494273 wait for a paralle reco to abort                                1893977003 Other
2301151944 enq: IM - contention for blr                                    1893977003 Other
1752153790 enq: TD - KTF dump entries                                      1893977003 Other
4241032297 enq: TE - KTF broadcast                                         1893977003 Other
 706934628 enq: CN - race with txn                                         1893977003 Other
4060759714 enq: CN - race with reg                                         1893977003 Other
 613420004 enq: CN - race with init                                        1893977003 Other
2549235236 latch: Change Notification Hash table latch                     1893977003 Other
 606473003 enq: CO - master slave det                                      1893977003 Other
3932945957 enq: FE - contention                                            1893977003 Other
2487720797 latch: change notification client cache latch                   1893977003 Other
 896842959 enq: TF - contention                                            1893977003 Other
 310348786 latch: lob segment hash table latch                             1893977003 Other
2868244995 latch: lob segment query latch                                  1893977003 Other
 361584826 latch: lob segment dispenser latch                              1893977003 Other
2934069603 Wait for shrink lock2                                           1893977003 Other
3943836588 Wait for shrink lock                                            1893977003 Other
1330927475 L1 validation                                                   1893977003 Other
 628015238 Wait for TT enqueue                                             1893977003 Other
3075113618 kttm2d                                                          1893977003 Other
1972012953 ktsambl                                                         1893977003 Other
2560588841 ktfbtgex                                                        1893977003 Other
 319052581 enq: DT - contention                                            1893977003 Other
2667616873 enq: TS - contention                                            1893977003 Other
1238611814 enq: FB - contention                                            1893977003 Other
2678203686 enq: SK - contention                                            1893977003 Other
2910919470 enq: DW - contention                                            1893977003 Other
3652428359 enq: SU - contention                                            1893977003 Other
4205956891 enq: TT - contention                                            1893977003 Other
3226067315 ktm: instance recovery                                          1893977003 Other
1525267497 instance state change                                           1893977003 Other
1335721068 enq: SM -  contention                                           1893977003 Other
 887351382 enq: SJ - Slave Task Cancel                                     1893977003 Other
2705466509 Space Manager: slave messages                                   1893977003 Other
 818518977 enq: SV -  contention                                           1893977003 Other
  67546339 index block split                                               1893977003 Other
2099272158 kdblil wait before retrying ORA-54                              1893977003 Other
3753064287 dupl. cluster key                                               1893977003 Other
 641757365 kdic_do_merge                                                   1893977003 Other
1349347951 enq: DL - contention                                            1893977003 Other
 403868930 enq: HQ - contention                                            1893977003 Other
 893937616 enq: HP - contention                                            1893977003 Other
1065985958 enq: KL -  contention                                           1893977003 Other
3445676385 enq: WG - delete fso                                            1893977003 Other
3380482012 enq: SL - get lock                                              1893977003 Other
1973889364 enq: SL - escalate lock                                         1893977003 Other
3555038872 enq: SL - get lock for undo                                     1893977003 Other
2630448508 enq: ZH - compression analysis                                  1893977003 Other
2929689230 Compression analysis                                            1893977003 Other
2322167609 row cache cleanup                                               1893977003 Other
1263391620 row cache process                                               1893977003 Other
 108267531 enq: QA -  contention                                           1893977003 Other
1139092931 enq: QB -  contention                                           1893977003 Other
1907863590 enq: QC -  contention                                           1893977003 Other
3962851118 enq: QD -  contention                                           1893977003 Other
 774455082 enq: QE -  contention                                           1893977003 Other
2436256250 enq: QF -  contention                                           1893977003 Other
1347029671 enq: QG -  contention                                           1893977003 Other
1414776114 enq: QH -  contention                                           1893977003 Other
1851813854 enq: QI -  contention                                           1893977003 Other
4087131843 enq: QJ -  contention                                           1893977003 Other
1542600248 enq: QK -  contention                                           1893977003 Other
2159175404 enq: QL -  contention                                           1893977003 Other
1480629321 enq: QM -  contention                                           1893977003 Other
 988442240 enq: QN -  contention                                           1893977003 Other
1348672103 enq: QO -  contention                                           1893977003 Other
4077590343 enq: QP -  contention                                           1893977003 Other
 871478667 enq: QQ -  contention                                           1893977003 Other
 188776046 enq: QR -  contention                                           1893977003 Other
3543257946 enq: QS -  contention                                           1893977003 Other
2183806234 enq: QT -  contention                                           1893977003 Other
 331767289 enq: QU -  contention                                           1893977003 Other
 251336424 enq: QV -  contention                                           1893977003 Other
 348872490 enq: QX -  contention                                           1893977003 Other
2109119095 enq: QY -  contention                                           1893977003 Other
1939400123 enq: QZ -  contention                                           1893977003 Other
2210508267 enq: DV - contention                                            1893977003 Other
2584404246 enq: SO - contention                                            1893977003 Other
4136932854 enq: VA -  contention                                           1893977003 Other
 143723934 enq: VB -  contention                                           1893977003 Other
1494426468 enq: VC -  contention                                           1893977003 Other
 948192883 enq: VD -  contention                                           1893977003 Other
2478141767 enq: VE -  contention                                           1893977003 Other
1821295450 enq: VF -  contention                                           1893977003 Other
3151153518 enq: VG -  contention                                           1893977003 Other
2667965274 enq: VH -  contention                                           1893977003 Other
2073979996 enq: VI -  contention                                           1893977003 Other
3548033582 enq: VJ -  contention                                           1893977003 Other
3854837673 enq: VK -  contention                                           1893977003 Other
1719975306 enq: VL -  contention                                           1893977003 Other
2388580865 enq: VM -  contention                                           1893977003 Other
 421100281 enq: VN -  contention                                           1893977003 Other
3088969444 enq: VO -  contention                                           1893977003 Other
2517810683 enq: VP -  contention                                           1893977003 Other
3292945243 enq: VQ -  contention                                           1893977003 Other
2799228463 enq: VR -  contention                                           1893977003 Other
1184138424 enq: VS -  contention                                           1893977003 Other
3090276998 enq: VT -  contention                                           1893977003 Other
2565788971 enq: VU -  contention                                           1893977003 Other
4143858120 enq: VV -  contention                                           1893977003 Other
 296128251 enq: VX -  contention                                           1893977003 Other
4244679353 enq: VY -  contention                                           1893977003 Other
 487077473 enq: VZ -  contention                                           1893977003 Other
   6973873 enq: EA -  contention                                           1893977003 Other
1795491474 enq: EB -  contention                                           1893977003 Other
4060429599 enq: EC -  contention                                           1893977003 Other
1617660300 enq: ED -  contention                                           1893977003 Other
1236794935 enq: EE -  contention                                           1893977003 Other
2286575608 enq: EF -  contention                                           1893977003 Other
2645745678 enq: EG -  contention                                           1893977003 Other
3577533227 enq: EH -  contention                                           1893977003 Other
1285941240 enq: EI -  contention                                           1893977003 Other
1146405468 enq: EJ -  contention                                           1893977003 Other
3016736045 enq: EK -  contention                                           1893977003 Other
3992761025 enq: EL -  contention                                           1893977003 Other
2089285608 enq: EM -  contention                                           1893977003 Other
2899227099 enq: EN -  contention                                           1893977003 Other
  88490769 enq: EO -  contention                                           1893977003 Other
3931594708 enq: EP -  contention                                           1893977003 Other
2541744767 enq: EQ -  contention                                           1893977003 Other
3235986442 enq: ER -  contention                                           1893977003 Other
1894918728 enq: ES -  contention                                           1893977003 Other
3810509754 enq: ET -  contention                                           1893977003 Other
3336800414 enq: EU -  contention                                           1893977003 Other
1649381315 enq: EV -  contention                                           1893977003 Other
1652839384 enq: EX -  contention                                           1893977003 Other
1483837291 enq: EY -  contention                                           1893977003 Other
2534915893 enq: EZ -  contention                                           1893977003 Other
 255555647 enq: LA -  contention                                           1893977003 Other
 923714426 enq: LB -  contention                                           1893977003 Other
3275074137 enq: LC -  contention                                           1893977003 Other
 871599156 enq: LD -  contention                                           1893977003 Other
2857947505 enq: LE -  contention                                           1893977003 Other
2639284940 enq: LF -  contention                                           1893977003 Other
 834829421 enq: LG -  contention                                           1893977003 Other
 978782178 enq: LH -  contention                                           1893977003 Other
 278321110 enq: LI -  contention                                           1893977003 Other
3300838304 enq: LJ -  contention                                           1893977003 Other
3400360290 enq: LK -  contention                                           1893977003 Other
2789266358 enq: LL -  contention                                           1893977003 Other
1670662413 enq: LM -  contention                                           1893977003 Other
1469305273 enq: LN -  contention                                           1893977003 Other
3489117640 enq: LO -  contention                                           1893977003 Other
3355742611 enq: LP -  contention                                           1893977003 Other
3810098838 enq: LQ -  contention                                           1893977003 Other
 688765145 enq: LR -  contention                                           1893977003 Other
2437279763 enq: LS -  contention                                           1893977003 Other
1781121790 enq: LT -  contention                                           1893977003 Other
3836307699 enq: LU -  contention                                           1893977003 Other
1320668291 enq: LV -  contention                                           1893977003 Other
 970056814 enq: LX -  contention                                           1893977003 Other
3540555035 enq: LY -  contention                                           1893977003 Other
  42470383 enq: LZ -  contention                                           1893977003 Other
4141358912 enq: YA -  contention                                           1893977003 Other
  49303873 enq: YB -  contention                                           1893977003 Other
  16923067 enq: YC -  contention                                           1893977003 Other
 430723601 enq: YD -  contention                                           1893977003 Other
2777252872 enq: YE -  contention                                           1893977003 Other
 716188495 enq: YF -  contention                                           1893977003 Other
3273918077 enq: YG -  contention                                           1893977003 Other
4261727606 enq: YH -  contention                                           1893977003 Other
3900056393 enq: YI -  contention                                           1893977003 Other
1086588912 enq: YJ -  contention                                           1893977003 Other
1546516104 enq: YK -  contention                                           1893977003 Other
3656843901 enq: YL -  contention                                           1893977003 Other
1902098915 enq: YM -  contention                                           1893977003 Other
2694944627 enq: YN -  contention                                           1893977003 Other
3078550945 enq: YO -  contention                                           1893977003 Other
3866696202 enq: YP -  contention                                           1893977003 Other
1945496019 enq: YQ -  contention                                           1893977003 Other
2349867750 enq: YR -  contention                                           1893977003 Other
2384470175 enq: YS -  contention                                           1893977003 Other
 104199150 enq: YT -  contention                                           1893977003 Other
1824966457 enq: YU -  contention                                           1893977003 Other
1334630542 enq: YV -  contention                                           1893977003 Other
 222894096 enq: YX -  contention                                           1893977003 Other
3368294287 enq: YY -  contention                                           1893977003 Other
4162515370 enq: YZ -  contention                                           1893977003 Other
3149857794 enq: GA -  contention                                           1893977003 Other
 707945442 enq: GB -  contention                                           1893977003 Other
3184090883 enq: GC -  contention                                           1893977003 Other
3010766263 enq: GD -  contention                                           1893977003 Other
2257184003 enq: GE -  contention                                           1893977003 Other
1470408532 enq: GF -  contention                                           1893977003 Other
1578294037 enq: GG -  contention                                           1893977003 Other
 356161086 enq: GH -  contention                                           1893977003 Other
2197298464 enq: GI -  contention                                           1893977003 Other
3500533291 enq: GJ -  contention                                           1893977003 Other
3571038774 enq: GK -  contention                                           1893977003 Other
4115167081 enq: GL -  contention                                           1893977003 Other
2822381649 enq: GM -  contention                                           1893977003 Other
1932106797 enq: GN -  contention                                           1893977003 Other
1220576703 enq: GO -  contention                                           1893977003 Other
 744993121 enq: GP -  contention                                           1893977003 Other
2885424359 enq: GQ -  contention                                           1893977003 Other
1692170555 enq: GR -  contention                                           1893977003 Other
 297473731 enq: GS -  contention                                           1893977003 Other
3224017946 enq: GT -  contention                                           1893977003 Other
2778953476 enq: GU -  contention                                           1893977003 Other
 959853025 enq: GV -  contention                                           1893977003 Other
2865689336 enq: GX -  contention                                           1893977003 Other
2895074916 enq: GY -  contention                                           1893977003 Other
4024171206 enq: GZ -  contention                                           1893977003 Other
1348917136 enq: NA -  contention                                           1893977003 Other
3834846031 enq: NB -  contention                                           1893977003 Other
2006236678 enq: NC -  contention                                           1893977003 Other
1871532613 enq: ND -  contention                                           1893977003 Other
4012219648 enq: NE -  contention                                           1893977003 Other
3502491416 enq: NF -  contention                                           1893977003 Other
2471192843 enq: NG -  contention                                           1893977003 Other
1409485279 enq: NH -  contention                                           1893977003 Other
 672532181 enq: NI -  contention                                           1893977003 Other
2473475281 enq: NJ -  contention                                           1893977003 Other
3808553866 enq: NK -  contention                                           1893977003 Other
1598198340 enq: NL -  contention                                           1893977003 Other
3050419639 enq: NM -  contention                                           1893977003 Other
1665290538 enq: NN -  contention                                           1893977003 Other
1174794313 enq: NO -  contention                                           1893977003 Other
2004959591 enq: NP -  contention                                           1893977003 Other
3657424359 enq: NQ -  contention                                           1893977003 Other
3356952131 enq: NR -  contention                                           1893977003 Other
2192142731 enq: NS -  contention                                           1893977003 Other
3427460944 enq: NT -  contention                                           1893977003 Other
 112223784 enq: NU -  contention                                           1893977003 Other
4128471227 enq: NV -  contention                                           1893977003 Other
2545284036 enq: NX -  contention                                           1893977003 Other
1766455960 enq: NY -  contention                                           1893977003 Other
2086756223 enq: NZ -  contention                                           1893977003 Other
3753139397 enq: IV -  contention                                           1893977003 Other
3937527428 enq: TP - contention                                            1893977003 Other
1305530676 enq: RW - MV metadata contention                                1893977003 Other
1911278064 enq: OC - contention                                            1893977003 Other
3443769614 enq: OL - contention                                            1893977003 Other
2380778435 kkdlgon                                                         1893977003 Other
 987594289 kkdlsipon                                                       1893977003 Other
1604845996 kkdlhpon                                                        1893977003 Other
3770549072 kgltwait                                                        1893977003 Other
3834925098 kksfbc research                                                 1893977003 Other
 695862004 kksscl hash split                                               1893977003 Other
   2679325 kksfbc child completion                                         1893977003 Other
 325782660 enq: CU - contention                                            1893977003 Other
3963940642 enq: AE - lock                                                  1893977003 Other
2211137592 enq: PF - contention                                            1893977003 Other
1682769842 enq: IL - contention                                            1893977003 Other
1619270516 enq: CL - drop label                                            1893977003 Other
3032662556 enq: CL - compare labels                                        1893977003 Other
3559219295 enq: MK - contention                                            1893977003 Other
4033490427 enq: OW - initialization                                        1893977003 Other
 964463181 enq: OW - termination                                           1893977003 Other
3147636141 enq: RK - set key                                               1893977003 Other
2687533677 enq: RL - RAC wallet lock                                       1893977003 Other
1248642937 enq: ZZ - update hash tables                                    1893977003 Other
1444835457 enq: ZA - add std audit table partition                         1893977003 Other
2473367936 enq: ZF - add fga audit table partition                         1893977003 Other
2881503609 enq: DX - contention                                            1893977003 Other
 721778600 enq: DR - contention                                            1893977003 Other
 363664498 pending global transaction(s)                                   1893977003 Other
1932123989 free global transaction table entry                             1893977003 Other
 800384622 library cache revalidation                                      1893977003 Other
1578286316 library cache shutdown                                          1893977003 Other
 168007407 BFILE closure                                                   1893977003 Other
3242184666 BFILE check if exists                                           1893977003 Other
1942306413 BFILE check if open                                             1893977003 Other
 472769133 BFILE get length                                                1893977003 Other
4198001558 BFILE get name object                                           1893977003 Other
  33957852 BFILE get path object                                           1893977003 Other
1993008680 BFILE open                                                      1893977003 Other
2281626056 BFILE internal seek                                             1893977003 Other
4067185855 waiting to get CAS latch                                        1893977003 Other
1871180424 waiting to get RM CAS latch                                     1893977003 Other
2625557633 resmgr:internal state cleanup                                   1893977003 Other
1731053206 xdb schema cache initialization                                 1893977003 Other
 378175956 ASM cluster file access                                         1893977003 Other
 366154626 CSS initialization                                              1893977003 Other
3315172079 CSS group registration                                          1893977003 Other
 321492953 CSS group membership query                                      1893977003 Other
4255804750 CSS operation: data query                                       1893977003 Other
3392052408 CSS operation: data update                                      1893977003 Other
1812662268 CSS Xgrp shared operation                                       1893977003 Other
1558934147 CSS operation: query                                            1893977003 Other
2051030365 CSS operation: action                                           1893977003 Other
2821557051 CSS operation: diagnostic                                       1893977003 Other
1957973247 GIPC operation: dump                                            1893977003 Other
3269846298 GPnP Initialization                                             1893977003 Other
3458573322 GPnP Termination                                                1893977003 Other
2801929040 GPnP Get Item                                                   1893977003 Other
2084604428 GPnP Set Item                                                   1893977003 Other
 725794275 GPnP Get Error                                                  1893977003 Other
